TIME_PERIOD,OBS_VALUE,Tau
21JAN2020,-0.257567223,9
21JAN2020,-0.202429521,10
21JAN2020,-0.150278549,11
21JAN2020,-0.101473351,12
21JAN2020,-0.05614555,13
21JAN2020,-0.014272,14
21JAN2020,0.0242710236,15
21JAN2020,0.0596683465,16
21JAN2020,0.0921378266,17
21JAN2020,0.1219109172,18
21JAN2020,0.1492196432,19
21JAN2020,0.1742882424,20
21JAN2020,0.197328137,21
21JAN2020,0.2185352319,22
21JAN2020,0.2380887973,23
21JAN2020,0.2561513984,24
21JAN2020,0.2728694848,25
21JAN2020,0.2883743713,26
21JAN2020,0.3027834221,27
21JAN2020,0.3162013148,28
21JAN2020,0.3287213027,29
21JAN2020,0.3404264251,30
22JAN2020,-0.599448911,1
22JAN2020,-0.6065684,2
22JAN2020,-0.591298345,3
22JAN2020,-0.559165111,4
22JAN2020,-0.515292287,5
22JAN2020,-0.464003523,6
22JAN2020,-0.408725971,7
22JAN2020,-0.352044334,8
22JAN2020,-0.295819683,9
22JAN2020,-0.241326065,10
22JAN2020,-0.189380999,11
22JAN2020,-0.140459209,12
22JAN2020,-0.094786334,13
22JAN2020,-0.052413105,14
22JAN2020,-0.013272264,15
22JAN2020,0.0227789154,16
22JAN2020,0.055927663,17
22JAN2020,0.0863837331,18
22JAN2020,0.1143642537,19
22JAN2020,0.1400836501,20
22JAN2020,0.1637472633,21
22JAN2020,0.1855476042,22
22JAN2020,0.2056624442,23
22JAN2020,0.2242541536,24
22JAN2020,0.2414698557,25
22JAN2020,0.2574420915,26
22JAN2020,0.2722897793,27
22JAN2020,0.2861193198,28
22JAN2020,0.2990257505,29
22JAN2020,0.3110938833,30
23JAN2020,-0.613649428,1
23JAN2020,-0.624141999,2
23JAN2020,-0.612381266,3
23JAN2020,-0.583434729,4
23JAN2020,-0.542244572,5
23JAN2020,-0.493101695,6
23JAN2020,-0.439473684,7
23JAN2020,-0.384016004,8
23JAN2020,-0.328667594,9
23JAN2020,-0.27477583,10
23JAN2020,-0.223221965,11
23JAN2020,-0.174533451,12
23JAN2020,-0.128978071,13
23JAN2020,-0.086639382,14
23JAN2020,-0.047475164,15
23JAN2020,-0.011361445,16
23JAN2020,0.0218751881,17
23JAN2020,0.0524344784,18
23JAN2020,0.080526423,19
23JAN2020,0.1063604674,20
23JAN2020,0.1301385565,21
23JAN2020,0.152050957,22
23JAN2020,0.1722740226,23
23JAN2020,0.1909692903,24
23JAN2020,0.2082834571,25
23JAN2020,0.2243489151,26
23JAN2020,0.2392846178,27
23JAN2020,0.2531971198,28
23JAN2020,0.2661816839,29
23JAN2020,0.2783233867,30
24JAN2020,-0.612149818,1
24JAN2020,-0.622944201,2
24JAN2020,-0.613302635,3
24JAN2020,-0.587083662,4
24JAN2020,-0.548600679,5
24JAN2020,-0.501851968,6
24JAN2020,-0.450200175,7
24JAN2020,-0.39629481,8
24JAN2020,-0.342116125,9
24JAN2020,-0.289070956,10
24JAN2020,-0.238102595,11
24JAN2020,-0.189795494,12
24JAN2020,-0.144466282,13
24JAN2020,-0.102238555,14
24JAN2020,-0.063101876,15
24JAN2020,-0.026956892,16
24JAN2020,0.0063511277,17
24JAN2020,0.0370080058,18
24JAN2020,0.065213546,19
24JAN2020,0.0911698607,20
24JAN2020,0.1150737234,21
24JAN2020,0.1371118372,22
24JAN2020,0.1574581736,23
24JAN2020,0.1762727429,24
24JAN2020,0.1937013265,25
24JAN2020,0.2098758304,26
24JAN2020,0.2249150183,27
24JAN2020,0.2389254544,28
24JAN2020,0.2520025406,29
24JAN2020,0.2642315739,30
27JAN2020,-0.616440379,1
27JAN2020,-0.643523109,2
27JAN2020,-0.645085412,3
27JAN2020,-0.626725118,4
27JAN2020,-0.593877052,5
27JAN2020,-0.551265503,6
27JAN2020,-0.502725947,7
27JAN2020,-0.451218363,8
27JAN2020,-0.398929077,9
27JAN2020,-0.347403549,10
27JAN2020,-0.297679855,11
27JAN2020,-0.250408458,12
27JAN2020,-0.205952914,13
27JAN2020,-0.164470887,14
27JAN2020,-0.125977211,15
27JAN2020,-0.090391658,16
27JAN2020,-0.057574238,17
27JAN2020,-0.027350686,18
27JAN2020,0.0004696153,19
27JAN2020,0.0260813869,20
27JAN2020,0.0496753931,21
27JAN2020,0.0714334094,22
27JAN2020,0.0915253365,23
27JAN2020,0.1101077991,24
27JAN2020,0.127323746,25
27JAN2020,0.1433027003,26
27JAN2020,0.1581614104,27
27JAN2020,0.1720047272,28
27JAN2020,0.1849265894,29
27JAN2020,0.1970110374,30
28JAN2020,-0.619430208,1
28JAN2020,-0.643653824,2
28JAN2020,-0.642336419,3
28JAN2020,-0.621378342,4
28JAN2020,-0.586341513,5
28JAN2020,-0.541977184,6
28JAN2020,-0.492094587,7
28JAN2020,-0.439602724,8
28JAN2020,-0.386628826,9
28JAN2020,-0.334660324,10
28JAN2020,-0.284682897,11
28JAN2020,-0.237302114,12
28JAN2020,-0.192844432,13
28JAN2020,-0.151437698,14
28JAN2020,-0.113073323,15
28JAN2020,-0.077653038,16
28JAN2020,-0.045023221,17
28JAN2020,-0.014999495,18
28JAN2020,0.012616108,19
28JAN2020,0.0380235241,20
28JAN2020,0.0614171141,21
28JAN2020,0.0829810357,22
28JAN2020,0.1028866751,23
28JAN2020,0.1212914916,24
28JAN2020,0.1383388039,25
28JAN2020,0.1541581813,26
28JAN2020,0.1688661986,27
28JAN2020,0.1825673901,28
28JAN2020,0.1953552909,29
28JAN2020,0.2073134896,30
29JAN2020,-0.631917403,1
29JAN2020,-0.654129607,2
29JAN2020,-0.651775357,3
29JAN2020,-0.630371954,4
29JAN2020,-0.595242944,5
29JAN2020,-0.550991846,6
29JAN2020,-0.50133682,7
29JAN2020,-0.449131121,8
29JAN2020,-0.39646822,9
29JAN2020,-0.344815427,10
29JAN2020,-0.295146748,11
29JAN2020,-0.24806128,12
29JAN2020,-0.203882202,13
29JAN2020,-0.162736021,14
29JAN2020,-0.124613969,15
29JAN2020,-0.089418275,16
29JAN2020,-0.056996193,17
29JAN2020,-0.027164415,18
29JAN2020,0.000273881,19
29JAN2020,0.0255174801,20
29JAN2020,0.0487596234,21
29JAN2020,0.0701834068,22
29JAN2020,0.0899592248,23
